"city","origin_zip","origin_county","origin_state","origin_zip_lat","origin_zip_long"
"Atlanta_GA",30002,"DeKalb County","GA",33.77,-84.26
"Atlanta_GA",30004,"Fulton County","GA",34.14,-84.29
"Atlanta_GA",30005,"Fulton County","GA",34.09,-84.22
"Atlanta_GA",30009,"Fulton County","GA",34.08,-84.3
"Atlanta_GA",30011,"Barrow County","GA",34.03,-83.83
"Atlanta_GA",30012,"Rockdale County","GA",33.72,-84.01
"Atlanta_GA",30013,"Rockdale County","GA",33.64,-83.97
"Atlanta_GA",30014,"Newton County","GA",33.6,-83.8
"Atlanta_GA",30016,"Newton County","GA",33.5,-83.9
"Atlanta_GA",30017,"Gwinnett County","GA",33.89,-83.96
"Atlanta_GA",30019,"Gwinnett County","GA",34,-83.9
"Atlanta_GA",30021,"DeKalb County","GA",33.81,-84.24
"Atlanta_GA",30022,"Fulton County","GA",34.02,-84.25
"Atlanta_GA",30024,"Gwinnett County","GA",34.07,-84.1
"Atlanta_GA",30025,"Walton County","GA",33.6,-83.7
"Atlanta_GA",30028,"Forsyth County","GA",34.3,-84.2
"Atlanta_GA",30030,"DeKalb County","GA",33.77,-84.29
"Atlanta_GA",30032,"DeKalb County","GA",33.75,-84.27
"Atlanta_GA",30033,"DeKalb County","GA",33.82,-84.29
"Atlanta_GA",30034,"DeKalb County","GA",33.69,-84.25
"Atlanta_GA",30035,"DeKalb County","GA",33.73,-84.2
"Atlanta_GA",30038,"DeKalb County","GA",33.66,-84.14
"Atlanta_GA",30039,"Gwinnett County","GA",33.8,-84.03
"Atlanta_GA",30040,"Forsyth County","GA",34.2,-84.2
"Atlanta_GA",30041,"Forsyth County","GA",34.2,-84.1
"Atlanta_GA",30043,"Gwinnett County","GA",34.01,-84.01
"Atlanta_GA",30044,"Gwinnett County","GA",33.92,-84.07
"Atlanta_GA",30045,"Gwinnett County","GA",33.93,-83.92
"Atlanta_GA",30046,"Gwinnett County","GA",33.95,-84
"Atlanta_GA",30047,"Gwinnett County","GA",33.87,-84.11
"Atlanta_GA",30052,"Walton County","GA",33.8,-83.9
"Atlanta_GA",30054,"Newton County","GA",33.68,-83.86
"Atlanta_GA",30055,"Jasper County","GA",33.5,-83.7
"Atlanta_GA",30056,"Jasper County","GA",33.5,-83.65
"Atlanta_GA",30058,"DeKalb County","GA",33.74,-84.1
"Atlanta_GA",30060,"Cobb County","GA",33.93,-84.54
"Atlanta_GA",30062,"Cobb County","GA",34,-84.47
"Atlanta_GA",30064,"Cobb County","GA",33.93,-84.62
"Atlanta_GA",30066,"Cobb County","GA",34.02,-84.5
"Atlanta_GA",30067,"Cobb County","GA",33.93,-84.46
"Atlanta_GA",30068,"Cobb County","GA",33.97,-84.44
"Atlanta_GA",30071,"Gwinnett County","GA",33.94,-84.21
"Atlanta_GA",30075,"Fulton County","GA",34.06,-84.38
"Atlanta_GA",30076,"Fulton County","GA",34.02,-84.31
"Atlanta_GA",30078,"Gwinnett County","GA",33.86,-84.01
"Atlanta_GA",30079,"DeKalb County","GA",33.79,-84.26
"Atlanta_GA",30083,"DeKalb County","GA",33.79,-84.2
"Atlanta_GA",30084,"DeKalb County","GA",33.86,-84.21
"Atlanta_GA",30087,"DeKalb County","GA",33.82,-84.11
"Atlanta_GA",30088,"DeKalb County","GA",33.76,-84.17
"Atlanta_GA",30092,"Gwinnett County","GA",33.97,-84.23
"Atlanta_GA",30093,"Gwinnett County","GA",33.91,-84.18
"Atlanta_GA",30094,"Rockdale County","GA",33.6,-84.1
"Atlanta_GA",30096,"Gwinnett County","GA",33.98,-84.15
"Atlanta_GA",30097,"Fulton County","GA",34.02,-84.14
"Atlanta_GA",30101,"Cobb County","GA",34.03,-84.7
"Atlanta_GA",30102,"Cherokee County","GA",34.11,-84.63
"Atlanta_GA",30103,"Bartow County","GA",34.4,-84.9
"Atlanta_GA",30107,"Cherokee County","GA",34.3,-84.3
"Atlanta_GA",30108,"Carroll County","GA",33.5,-85.3
"Atlanta_GA",30110,"Haralson County","GA",33.7,-85.2
"Atlanta_GA",30113,"Haralson County","GA",33.9,-85.2
"Atlanta_GA",30114,"Cherokee County","GA",34.3,-84.5
"Atlanta_GA",30115,"Cherokee County","GA",34.2,-84.4
"Atlanta_GA",30116,"Carroll County","GA",33.6,-85
"Atlanta_GA",30117,"Carroll County","GA",33.6,-85.1
"Atlanta_GA",30118,"Carroll County","GA",33.572,-85.103
"Atlanta_GA",30120,"Bartow County","GA",34.2,-84.8
"Atlanta_GA",30121,"Bartow County","GA",34.2,-84.8
"Atlanta_GA",30122,"Douglas County","GA",33.76,-84.65
"Atlanta_GA",30127,"Cobb County","GA",33.9,-84.7
